questionText,leitnerWeight,lesson
manong,0,1
manang,0,1
"adi, ading",0,1
"tatang, itang, tata, papa, daddy, dad",0,1
"nanang, inang, nana, mama, mommy, mom",0,1
"uliteg, tio, angkel, tataubing",0,1
"ikit, tia, anti, nanaubing",0,1
"lilang, lola, lila, inang a baket, apo a baket",0,1
"lilong, lolo, lilo, tatang a lakay, apo a lakay",0,1
"barok, balong, ballong",0,1
"basang, balasang",0,1
"anak, nakko, nakkong",0,1
domingo,0,1
lunes,0,1
martes,0,1
mierkoles,0,1
jueves,0,1
viernes,0,1
sabado,0,1
bigat,0,1
agmatuom,0,1
malem,0,1
rabii,0,1