True or False,
2,
,
Awan kabagiak idiay Ilocos.,FALSE
Awan kabagiak idiay Hawaii.,FALSE
Awan kabagiak idiay Palawan.,FALSE
Adda kabagiak idiay Mindoro.,FALSE
Adda kabagiak idiay Mindanao.,TRUE
Awan kabagian a nakapan idiay Manila.,FALSE
Saan a nagsubli ni tatangko idiay Laoag.,TRUE
Nagsubli ni tatang idiay Ilocos.,TRUE
Adda lilongko idiay Hawaii.,TRUE
Awan ni lilangko idiay Hawaii.,FALSE
Awan ni uliteg Samuel idiay Filipinas.,TRUE
Adda ni ikit Maria idiay Filipinas.,FALSE
Idiay Baguio nagkita da lilong ken lilang.,TRUE