ay,"apay, tinapay, paypay, baybay, istambay, balay",Idiay baybay ti ayan ti kararuak ta sadiay ti pakabirokak iti talinaay.,,
au,"aurora, aumentar, aumentado",Paggaayatko dayta Doña Aurora ta nakangayngayed ti panagkitak iti sabongna.,Aumentado ti sueldo aming nga empleadok manipud inton bigat.,
aw,"baaw, taaw, laaw, alawaaw, tawataw, talawataw, kawkaw",Agbaaw ti sabaw no dimo igupen nga insegida.,Sika a talawataw ti mangiyawid iti napintas a salaysay maipapan iti maysa nga alawaaw.,
ea,"ea, Korea, azalea, Lea, Leah, Bea",Naggudua ti Korea: ti makin-abagatan ken ti makin-amianan.,Nakakitaka kadin iti azalea?,Nalaing in Leah Francine iti matematika ta uray no ubing pay ket ammonan ti probabilidad ken istadistika.
ei,"ei, frijideir, refrijereitor, Beirut","Idiay Beirut, sadiay ti lugar a naggapuan ti nalaing a mannaniw a Kahlil Gibran, di kadi?",Diak ammo no apay nga iti salas ti pangikabkabilan ti kaarrubami iti kabbaro a frijideirna.,
eo,"eo, Leo, leon, peon, kampeon, Simeon, galleon",Leo ti horoskopio ti kabsat. Isu ngata a maraleon?,Dayta historia ti galleon iti baet ti Mexico ken Manila ket rumbeng laeng a sukisoken.,
ia,"familia, patria, Maria, pilia",Ti familia ket importante tapno mapatanor a naimbag ti maysa nga ubing.,"Ni Maria ket nasingpet, saan a pilia.",
ie,"pilien, serie, patiem, pagkariem",Piliem a nasayaat ti alaem a kurso tapno dimonto pagbabawian.,Pagkarieman dayta kuriro nga ubing tapno patienna ti patigmaan.,
io,"pilio, kastilio, pasilio, basio, Casio, barrio, niog, iniog",Pilio dayta nga ubing ngem nakasaysayaat ti kinataona.,Iti pasilio ti nagnaanna tapno maliklikanna ti palaw iti sango.,
iu,"alliug, balliudong",Dayta a panangal-alliugna iti ili ti nangitunda kenkuana iti kasta a puesto.,Dayta a balliudong ket di makairingpas iti adal no di agtalna iti kasta nga aramidna.,
oa,"cocoa, caracoa, Balboa",Kayatko ti cocoa nga aggapu iti kabambantayan ti Sinamar.,Idiay Balboa ti nagapuanna.,
oi,"Caoili, Agcaoili, Quiaoit",Dagitoy nga apeliedo ti Caoili ken Agcaoili ket aggapu laeng iti maymaysa a punget-a-ramut: iti indigeno a balikas a kawili.,"Dagiti ag-Quiaoit ket taga-Quirino, iti didaya.",
ua,"bua, lua, purua, aluad, kararua, kadua, kadkadua, gudua",Kagudua laeng ti kayatko nga alaen.,Lua ti nagpuonak iti kastoy a balligi. Ngem kaasi ti Namarsua iti awan ressat a panagsaluadna.,
ue,"bueno, buenas, suerte, puek, suek",Buenasko daytoy a kaporete.,Suerteak kano iti familia ta pillakosak kano iti maiyanakak.,Karupruoat' puek ti manokmo.
ui,"buis, buisit, suitik",Sinno ti agbayad iti buis?,Dagita nga aramid ket buisit. Rumbeng ti aramid a nalinteg iti amin nga oras.,