,ayat,Ti ayat ti maysa nga agay-ayat ti paggapuan ti energia a masapul iti biag.,
,"tuyó, túyo",Paggugustok daytoy a tuyó nga aggapu idiay Iloilo,"Daytoy a túyo ti ilaokmo iti tagapulot tapno ipakanmo iti kabaliom. Iti kasta, nasarsaranta no kua nga agguyod iti kalesam."
,wasay,Dayta a wasay ket impatawid kaniak ni lilongko.,
,Pasay,Idiay Pasay ti ayan ti terminal ti bus a mapan Sorsogon.,
,daya,"Idiay daya ti singisingan ti init, saan nga iti laud.",
,rayos,Dayta a rayos ti natukkol.,
,tayyek,Ipatayyekmo ta kampuso tapno matuktokan ti kampuso ti naabak.,
,tayab,Adda iti tayab ti nilutok a sigang.,
,tawataw,Tawataw daytoy a tao ngem responsable iti familiana.,
,alawaaw,"Gapu iti rigat ti biag, nagbalinen nga alawaaw dagiti Ilokano.",
,talawataw,Talawataw daytoy nga aso. Dina as-asikasuen dagiti tutana.,