a,avokado,Paggugustok ti frutas nga avokado.
b,balayang,"Naimas ti balayang a saba no magalgalip, sa maartem."
c,Candon,Ti siudad ti Candon ti maysa kadagiti historikal a lugar iti Ilocos.
ch,chiesa,Nabaknang iti vitamina A ti frutas a chiesa.
d,daldaligan,"No maluom a nasayaat, nakasamsam-iti daldaligan."
e,elefante,Maysa kadagiti paggaayat a buybuyaaen dagiti ubbing iti zoo ket ti elefante.
f,Filipinas,Ti Republika ti Filipinas ti maysa kadagiti pagilian nga adut' mangmangged nga umili iti ballasiw-taaw.
g,gameng,Gameng ti maysa a komunidad ti pagsasaona.
h,Hawaii,Ti estado ti Hawaii ti maysa kadagiti lugar a nagdappatan ni Ilokano iti nabayagen a panawen.
i,Ilokano,"Sabasabali ti pangawag iti pagsasao nga Ilokano: Ilokano, Iluko, Ilocano, Iluco, ken Iloco."
j,justisia,Ti justisia - daytay nainsapasapan a kinalinteg - ti rumbeng a maipakat iti pagilian.
k,kalamansi,Kunada a naimbag ti kalamansi a pangontra iti panateng.
l,lemonada,Nasayaat ti lemonada a pangbalanse iti asido ti bagi.
ll,Llanes,Ni Josefa Llanes Escoda ti maysa kadagiti mabigbig a panginaen ti Kailokuan.
m,maestra,Ti maestra a nakaan-anus ti pannakainak idi addaak iti primaria.
n,nateng,Awan makaatiw iti nateng nga Ilokano ta nasustansia dagitoy..
ñ,Niño,Ti Santo Niño ti maysa a sentro ti selebrasion iti Ati-atihan.
ng,ngipen,Napudaw dagiti ngipen ti ubing ta aggisgisgis a regular.
o,otap,Paggaayatko ti otap a magatang iti panaderia ti Pagudpud.
p,patupat,Mailiwak unay iti patupat a lutlutuen ti ikitko a taga-Patapat.
q,Quirino,Ni Presidente Elpidio Quirino ti nakaipanaganan ti Provinsia ti Quirino.
r,rakit,Rakrakitenmi ti Karayan Padasan idi ubingkami pay laeng.
s,sagad,Mabalin ti iit ti bulong ti biog a pagbalinen a sagad.
t,talaytayan,Adda talaytayan a barut ken landok idiay naselsel a purokmi.
u,ugsa,Idi kano panawen ti panagdappat idiay Angadanan ket adu kanot' ugsa.
v,ventosa,Napadasan ti adiek ti nagpaagas iti ventosa iti ubing.
w,walingwaling,Maysa kadagiti kapipintasan a sabong iti Filipinas ti walingwaling.
x,x-ray,Importante nga aparato ti x-ray ta makita ti problema iti uneg ti tao.
y,yantok,Yantok ti kayatko nga itedmo a pagsaplitko iti naraber a dalan.
z,zoo,Idiay zoo ti Baluarte ti pakakitaam kadagiti ayup nga extraordinario.