Ilokano,English
agawag,will call
agawid,will go home
agbuya,will watch
agchat,will chat
agdalus,will clean up
agdigos,will shower or take a bath
aggatang,will buy
aggitara,will play the guitar
aginum,will drink
agkanta,will sing
aglaba,will do the laundry
agluto,will cook
agmaneho,will drive
agpagna,will walk
agplancha,will iron
agriing,will wake up
agrubuuat,will wear (clothes)
agsangit,will cry
agsangpet,will arrive
agsao,will speak
agsukat,will change (clothes)
agsurat,will write
agtaray,will run
agugas,will wash the dishes
agwalis,will sweep
maala,will get
mammigat,will eat breakfast
mangngaldaw,will eat lunch
mangrabii,will eat dinner
maturog,will sleep